Algorithm_Name,Queens,Iterations,Time,H_Value,Solution_Found
hill-climbing,15,10000,1.4293897151947021,5,False
simulated-annealing,15,10000,1.4706473350524902,6,False
genetic,15,380,2.096648931503296,1,False
hill-climbing,4,469,0.01994776725769043,0,True
simulated-annealing,4,108,0.0035331249237060547,0,True
genetic,4,8,0.008012056350708008,0,True
hill-climbing,8,10000,0.6624031066894531,1,False
simulated-annealing,8,10000,0.6664299964904785,1,False
genetic,8,380,0.7123470306396484,1,False
hill-climbing,10,10000,0.8583223819732666,3,False
simulated-annealing,10,10000,0.8481059074401855,3,False
genetic,10,380,1.0682644844055176,1,False
hill-climbing,12,10000,1.0983262062072754,3,False
simulated-annealing,12,10000,1.0920896530151367,4,False
genetic,12,380,1.3994154930114746,1,False
hill-climbing,15,10000,1.4617691040039062,5,False
simulated-annealing,15,10000,1.459618330001831,5,False
genetic,15,380,2.1052918434143066,1,False
hill-climbing,4,368,0.011970043182373047,0,True
simulated-annealing,4,37,0.001995563507080078,0,True
genetic,4,20,0.01898670196533203,0,True
hill-climbing,8,10000,0.6681046485900879,1,False
simulated-annealing,8,10000,0.6736750602722168,1,False
genetic,8,380,0.7304632663726807,1,False
hill-climbing,10,10000,0.8352153301239014,2,False
simulated-annealing,10,10000,0.8678548336029053,2,False
genetic,10,380,1.068833351135254,1,False
hill-climbing,12,10000,1.071885108947754,4,False
simulated-annealing,12,10000,1.0777535438537598,3,False
genetic,12,380,1.400116205215454,1,False
hill-climbing,15,10000,1.4439094066619873,6,False
simulated-annealing,15,10000,1.4574220180511475,6,False
genetic,15,380,2.102036237716675,1,False
hill-climbing,4,234,0.007980585098266602,0,True
simulated-annealing,4,32,0.0009999275207519531,0,True
genetic,4,3,0.0030198097229003906,0,True
hill-climbing,8,7769,0.5138421058654785,0,True
simulated-annealing,8,10000,0.6523013114929199,1,False
genetic,8,74,0.14518117904663086,0,True
hill-climbing,10,10000,0.857597827911377,2,False
simulated-annealing,10,10000,0.8747978210449219,3,False
genetic,10,380,1.06160306930542,1,False
hill-climbing,12,10000,1.0757865905761719,4,False
simulated-annealing,12,10000,1.0784707069396973,3,False
genetic,12,296,1.1225967407226562,0,True
hill-climbing,15,10000,1.4695351123809814,5,False
simulated-annealing,15,10000,1.4727580547332764,6,False
genetic,15,380,2.1354787349700928,1,False
hill-climbing,4,311,0.010974645614624023,0,True
simulated-annealing,4,40,0.0010006427764892578,0,True
genetic,4,2,0.0019941329956054688,0,True
hill-climbing,8,10000,0.6555798053741455,2,False
simulated-annealing,8,5587,0.37297773361206055,0,True
genetic,8,367,0.700326681137085,0,True
hill-climbing,10,10000,0.8420088291168213,2,False
simulated-annealing,10,10000,0.8545618057250977,2,False
genetic,10,231,0.6647434234619141,0,True
hill-climbing,12,10000,1.055471658706665,3,False
simulated-annealing,12,10000,1.0801374912261963,4,False
genetic,12,380,1.4326517581939697,1,False
hill-climbing,15,10000,1.4409172534942627,5,False
simulated-annealing,15,10000,1.4243361949920654,6,False
genetic,15,380,2.1759591102600098,1,False
hill-climbing,4,370,0.012968301773071289,0,True
simulated-annealing,4,77,0.002991914749145508,0,True
genetic,4,55,0.04242229461669922,0,True
hill-climbing,8,10000,0.6669936180114746,1,False
simulated-annealing,8,10000,0.6884574890136719,1,False
genetic,8,46,0.10124397277832031,0,True
hill-climbing,10,10000,1.1359844207763672,2,False
simulated-annealing,10,10000,1.065314531326294,2,False
genetic,10,129,0.365126371383667,0,True
hill-climbing,12,10000,1.2489337921142578,3,False
simulated-annealing,12,10000,1.0760715007781982,4,False
genetic,12,380,1.4240918159484863,1,False
hill-climbing,15,10000,1.437119483947754,5,False
simulated-annealing,15,10000,1.4506256580352783,5,False
genetic,15,380,2.141979694366455,1,False
hill-climbing,4,20,0.0010230541229248047,0,True
simulated-annealing,4,50,0.00099945068359375,0,True
genetic,4,53,0.043910980224609375,0,True
hill-climbing,8,10000,0.6428196430206299,1,False
simulated-annealing,8,10000,0.6728272438049316,1,False
genetic,8,380,0.7280254364013672,1,False
hill-climbing,10,10000,0.857884407043457,3,False
simulated-annealing,10,10000,0.8705804347991943,3,False
genetic,10,380,1.1024935245513916,1,False
hill-climbing,12,10000,1.170630931854248,3,False
simulated-annealing,12,10000,1.0920119285583496,3,False
genetic,12,380,1.441237211227417,1,False
hill-climbing,15,10000,1.4466500282287598,5,False
simulated-annealing,15,10000,1.5980360507965088,6,False
genetic,15,380,2.2425661087036133,1,False
